GENE	CHROM	POS	TotalDepth	Normalized_Depth
MPL	chr1	43339301	1439	0.818700502
MPL	chr1	43339305	1455	0.827803496
MPL	chr1	43339394	1631	0.927936427
MPL	chr1	43339465	1807	1.028069359
MPL	chr1	43339529	1983	1.12820229
MPL	chr1	43339565	1526	0.868198031
MPL	chr1	43340037	1854	1.054809403
MPL	chr1	43340078	1962	1.116254611
MPL	chr1	43340112	1752	0.996777818
MPL	chr1	43340124	1591	0.905178943
MPL	chr1	43340475	2155	1.226059473
MPL	chr1	43346585	1370	0.779443841
MPL	chr1	43346829	1441	0.819838376
MPL	chr1	43346843	1622	0.922815993
MPL	chr1	43346910	1770	1.007018686
MPL	chr1	43348979	512	0.291295801
MPL	chr1	43349309	953	0.542197066
MPL	chr1	43352282	1414	0.804477074
MPL	chr1	43352285	1362	0.774892344
MPL	chr1	43352288	1357	0.772047659
MPL	chr1	43352292	1321	0.751565923
MPL	chr1	43352542	821	0.467097368
MPL	chr1	43352566	1054	0.599659714
MPL	chr1	43352575	1069	0.608193771
MPL	chr1	43352712	1979	1.125926542
DPYD	chr1	97078985	1846	1.050257906
DPYD	chr1	97098504	1654	0.941021981
DPYD	chr1	97098506	1718	0.977433956
DPYD	chr1	97098619	1695	0.964348402
DPYD	chr1	97098625	1624	0.923953867
DPYD	chr1	97193074	1255	0.714016074
DPYD	chr1	97193120	1752	0.996777818
DPYD	chr1	97193142	1977	1.124788667
DPYD	chr1	97193202	1587	0.902903194
DPYD	chr1	97234900	1881	1.070170705
DPYD	chr1	97373629	1674	0.952400723
DPYD	chr1	97450114	2536	1.442824512
DPYD	chr1	97450131	2555	1.453634317
DPYD	chr1	97450132	2559	1.455910066
DPYD	chr1	97450160	2537	1.443393449
DPYD	chr1	97515762	1253	0.712878199
DPYD	chr1	97515763	1265	0.719705445
DPYD	chr1	97515827	1895	1.078135824
DPYD	chr1	97515860	2052	1.167458951
DPYD	chr1	97515874	2070	1.177699819
DPYD	chr1	97515928	1558	0.886404018
DPYD	chr1	97515932	1516	0.862508659
DPYD	chr1	97549618	1685	0.958659031
DPYD	chr1	97573773	1549	0.881283584
DPYD	chr1	97573775	1567	0.891524452
DPYD	chr1	97573934	1837	1.045137472
DPYD	chr1	97593281	1891	1.075860076
DPYD	chr1	97593381	1861	1.058791963
DPYD	chr1	97679094	930	0.529111513
DPYD	chr1	97679122	1159	0.659398111
DPYD	chr1	97679175	1002	0.570074985
DPYD	chr1	97691768	1275	0.725394816
DPYD	chr1	97699352	1078	0.613314205
DPYD	chr1	97699412	1806	1.027500422
DPYD	chr1	97699470	1841	1.04741322
DPYD	chr1	97699518	1825	1.038310227
DPYD	chr1	97720904	1763	1.003036126
DPYD	chr1	97720918	1677	0.954107534
DPYD	chr1	97721514	797	0.453442877
DPYD	chr1	97721549	1153	0.655984488
DPYD	chr1	97721573	1312	0.746445489
DPYD	chr1	97721624	1576	0.896644886
DPYD	chr1	97828158	1042	0.592832469
DPYD	chr1	97828179	937	0.533094073
DPYD	chr1	97828197	776	0.441495198
DPYD	chr1	97883270	1519	0.864215471
DPYD	chr1	97920912	519	0.29527836
NRAS	chr1	114708538	1298	0.738480369
NRAS	chr1	114709582	1571	0.893800201
NRAS	chr1	114709612	1821	1.036034478
NRAS	chr1	114709637	1936	1.101462246
NRAS	chr1	114709639	1947	1.107720554
NRAS	chr1	114709722	1446	0.822683062
RIT1	chr1	155900413	2004	1.140149969
RIT1	chr1	155900452	2379	1.353501386
RIT1	chr1	155900519	2337	1.329606027
RIT1	chr1	155900534	2284	1.29945236
RIT1	chr1	155904310	1578	0.89778276
RIT1	chr1	155904381	2354	1.339277958
RIT1	chr1	155904477	2273	1.293194052
RIT1	chr1	155904484	2240	1.274419127
RIT1	chr1	155904763	1580	0.898920635
RIT1	chr1	155904775	1553	0.883559333
RIT1	chr1	155904787	1503	0.855112477
RIT1	chr1	155904805	1397	0.794805143
RIT1	chr1	155910766	1896	1.078704761
RIT1	chr1	155910782	1729	0.983692264
NTRK1	chr1	156860938	34	0.019343862
NTRK1	chr1	156860963	52	0.02958473
NTRK1	chr1	156861056	308	0.17523263
NTRK1	chr1	156861065	316	0.179784127
NTRK1	chr1	156861084	315	0.17921519
NTRK1	chr1	156861097	325	0.184904561
NTRK1	chr1	156864392	2388	1.35862182
NTRK1	chr1	156864769	1019	0.579746916
NTRK1	chr1	156864772	1025	0.583160538
NTRK1	chr1	156864797	1004	0.571212859
NTRK1	chr1	156868186	2130	1.211836045
NTRK1	chr1	156868200	2034	1.157218083
NTRK1	chr1	156868508	1659	0.943866666
NTRK1	chr1	156868509	1682	0.95695222
NTRK1	chr1	156868564	2065	1.174855133
NTRK1	chr1	156868581	2163	1.23061097
NTRK1	chr1	156873652	1099	0.625261884
NTRK1	chr1	156873660	1039	0.591125658
NTRK1	chr1	156873661	1041	0.592263532
NTRK1	chr1	156873671	904	0.514319148
NTRK1	chr1	156873710	912	0.518870645
NTRK1	chr1	156873714	924	0.52569789
NTRK1	chr1	156873741	1109	0.630951256
NTRK1	chr1	156873795	1921	1.092928189
NTRK1	chr1	156873812	2108	1.199319429
NTRK1	chr1	156873832	2154	1.225490536
NTRK1	chr1	156873836	2125	1.20899136
NTRK1	chr1	156873837	2132	1.21297392
NTRK1	chr1	156873895	2022	1.150390837
NTRK1	chr1	156874611	2565	1.459323688
NTRK1	chr1	156875639	1171	0.666225356
NTRK1	chr1	156876164	2256	1.283522121
NTRK1	chr1	156876191	1404	0.798787703
NTRK1	chr1	156876402	1476	0.839751175
NTRK1	chr1	156876403	1533	0.87218059
NTRK1	chr1	156876405	1657	0.942728792
NTRK1	chr1	156876413	1819	1.034896604
NTRK1	chr1	156876437	2186	1.243696524
NTRK1	chr1	156876496	2326	1.323347719
NTRK1	chr1	156876512	2262	1.286935744
NTRK1	chr1	156876515	2164	1.231179907
NTRK1	chr1	156876516	2140	1.217525416
NTRK1	chr1	156876519	2132	1.21297392
NTRK1	chr1	156876563	1246	0.70889564
NTRK1	chr1	156879192	2594	1.475822865
NTRK1	chr1	156879281	2243	1.276125939
NTRK1	chr1	156879301	2384	1.356346071
NTRK1	chr1	156879361	2200	1.251661643
NTRK1	chr1	156880023	2158	1.227766284
NTRK1	chr1	156880055	2504	1.424618525
NTRK1	chr1	156880076	2530	1.43941089
NTRK1	chr1	156880084	2502	1.42348065
NTRK1	chr1	156880085	2480	1.410964034
NTRK1	chr1	156880088	2319	1.319365159
NTRK1	chr1	156880108	2017	1.147546152
NTRK1	chr1	156881455	1283	0.729946313
NTRK1	chr1	156881480	1507	0.857388225
NTRK1	chr1	156881497	1640	0.933056861
NTRK1	chr1	156881537	2177	1.23857609
NTRK1	chr1	156881609	1348	0.766927225
NTRK1	chr1	156881641	1104	0.62810657
DDR2	chr1	162719105	2658	1.51223484
DDR2	chr1	162719132	2422	1.377965682
DDR2	chr1	162719143	2081	1.183958127
DDR2	chr1	162753165	2510	1.428032147
DDR2	chr1	162754721	2687	1.528734016
DDR2	chr1	162754729	2725	1.550353626
DDR2	chr1	162754751	2821	1.604971589
DDR2	chr1	162754753	2807	1.597006469
DDR2	chr1	162754758	2790	1.587334538
DDR2	chr1	162754781	2753	1.566283865
DDR2	chr1	162754825	2334	1.327899216
DDR2	chr1	162755159	1896	1.078704761
DDR2	chr1	162755193	2153	1.224921599
DDR2	chr1	162755219	2246	1.27783275
DDR2	chr1	162755241	2187	1.244265461
DDR2	chr1	162755248	2107	1.198750492
DDR2	chr1	162755249	2087	1.18737175
DDR2	chr1	162755296	1327	0.754979546
DDR2	chr1	162755661	2285	1.300021297
DDR2	chr1	162755685	2691	1.531009764
DDR2	chr1	162755751	2729	1.552629375
DDR2	chr1	162755760	2614	1.487201607
DDR2	chr1	162759904	2624	1.492890978
DDR2	chr1	162761255	2351	1.337571147
DDR2	chr1	162761283	2798	1.591886035
DDR2	chr1	162767262	2127	1.210129234
DDR2	chr1	162767305	2238	1.273281253
DDR2	chr1	162767320	2182	1.241420775
DDR2	chr1	162767326	2171	1.235162467
DDR2	chr1	162767336	1978	1.125357605
DDR2	chr1	162767344	1801	1.024655736
DDR2	chr1	162770308	1914	1.088945629
DDR2	chr1	162770381	2747	1.562870243
DDR2	chr1	162770383	2768	1.574817922
DDR2	chr1	162772021	1884	1.071877516
DDR2	chr1	162772030	1964	1.117392485
DDR2	chr1	162772129	2663	1.515079525
DDR2	chr1	162772143	2879	1.637969941
DDR2	chr1	162773514	2152	1.224352662
DDR2	chr1	162773580	2309	1.313675788
DDR2	chr1	162775655	1879	1.069032831
DDR2	chr1	162775730	2479	1.410395097
DDR2	chr1	162775834	2644	1.50426972
DDR2	chr1	162776174	2405	1.368293751
DDR2	chr1	162776177	2434	1.384792927
DDR2	chr1	162776250	2483	1.412670845
DDR2	chr1	162776312	2727	1.5514915
DDR2	chr1	162776326	2800	1.593023909
DDR2	chr1	162778580	1539	0.875594213
DDR2	chr1	162778581	1560	0.887541892
DDR2	chr1	162778619	2206	1.255075266
DDR2	chr1	162778642	2485	1.41380872
DDR2	chr1	162778678	2628	1.495166726
DDR2	chr1	162778720	2185	1.243127586
DDR2	chr1	162780143	1761	1.001898252
DDR2	chr1	162780145	1785	1.015552742
DDR2	chr1	162780173	2588	1.472409242
DDR2	chr1	162780192	2700	1.536130198
DDR2	chr1	162780222	2682	1.52588933
DDR2	chr1	162780237	2644	1.50426972
MYCN	chr2	15940590	730	0.415324091
MYCN	chr2	15940601	728	0.414186216
MYCN	chr2	15940678	144	0.081926944
MYCN	chr2	15941988	1476	0.839751175
MYCN	chr2	15942001	1542	0.877301024
MYCN	chr2	15942009	1640	0.933056861
MYCN	chr2	15942048	1603	0.912006188
MYCN	chr2	15942058	1576	0.896644886
MYCN	chr2	15942101	1652	0.939884107
MYCN	chr2	15942191	2327	1.323916656
MYCN	chr2	15942205	2231	1.269298693
MYCN	chr2	15942234	1801	1.024655736
MYCN	chr2	15942271	1353	0.76977191
MYCN	chr2	15942302	939	0.534231947
MYCN	chr2	15942310	947	0.538783444
MYCN	chr2	15942340	896	0.509767651
MYCN	chr2	15942343	888	0.505216154
MYCN	chr2	15942360	835	0.475062487
MYCN	chr2	15942372	796	0.45287394
MYCN	chr2	15942374	777	0.442064135
MYCN	chr2	15942380	766	0.435805827
MYCN	chr2	15942429	627	0.356723568
MYCN	chr2	15942432	611	0.347620575
MYCN	chr2	15942572	13	0.007396182
MYCN	chr2	15942629	69	0.039256661
MYCN	chr2	15942668	72	0.040963472
MYCN	chr2	15945547	2775	1.578800482
MYCN	chr2	15945586	2776	1.579369419
MYCN	chr2	15945595	2753	1.566283865
MYCN	chr2	15945639	2420	1.376827807
MYCN	chr2	15945701	2032	1.156080209
MYCN	chr2	15945703	2031	1.155511271
MYCN	chr2	15945790	1886	1.07301539
MYCN	chr2	15945791	1915	1.089514567
MYCN	chr2	15945815	2038	1.159493831
MYCN	chr2	15945907	2281	1.297745549
MYCN	chr2	15945937	2209	1.256782077
MYCN	chr2	15946005	2191	1.246541209
MYCN	chr2	15946065	1992	1.133322724
MYCN	chr2	15946087	1945	1.10658268
ALK	chr2	29193242	2186	1.243696524
ALK	chr2	29193267	2476	1.408688286
ALK	chr2	29193500	2244	1.276694876
ALK	chr2	29193518	2164	1.231179907
ALK	chr2	29193564	2036	1.158355957
ALK	chr2	29193575	2037	1.158924894
ALK	chr2	29193589	2038	1.159493831
ALK	chr2	29193602	2214	1.259626763
ALK	chr2	29193607	2192	1.247110146
ALK	chr2	29193608	2194	1.24824802
ALK	chr2	29193615	2242	1.275557002
ALK	chr2	29193678	2283	1.298883423
ALK	chr2	29193693	2216	1.260764637
ALK	chr2	29193706	2282	1.298314486
ALK	chr2	29193754	2306	1.311968977
ALK	chr2	29193760	2356	1.340415832
ALK	chr2	29193762	2374	1.3506567
ALK	chr2	29193771	2448	1.392758046
ALK	chr2	29193781	2484	1.413239782
ALK	chr2	29193815	2671	1.519631022
ALK	chr2	29193838	2621	1.491184167
ALK	chr2	29196789	1214	0.690689652
ALK	chr2	29196850	2045	1.163476391
ALK	chr2	29197663	2123	1.207853486
ALK	chr2	29197668	2152	1.224352662
ALK	chr2	29207211	2718	1.546371066
ALK	chr2	29207255	2650	1.507683343
ALK	chr2	29209785	2054	1.168596825
ALK	chr2	29209825	2781	1.582214104
ALK	chr2	29213996	1940	1.103737994
ALK	chr2	29214010	2394	1.362035442
ALK	chr2	29220740	2646	1.505407594
ALK	chr2	29220742	2669	1.518493148
ALK	chr2	29220748	2808	1.597575406
ALK	chr2	29222346	1591	0.905178943
ALK	chr2	29222382	1609	0.915419811
ALK	chr2	29222577	2076	1.181113441
ALK	chr2	29222580	2096	1.192492184
ALK	chr2	29222592	2325	1.322778782
ALK	chr2	29223481	2824	1.6066784
ALK	chr2	29223483	2807	1.597006469
ALK	chr2	29223504	2652	1.508821217
ALK	chr2	29225494	2916	1.659020614
ALK	chr2	29227052	1433	0.815286879
ALK	chr2	29227573	1678	0.954676471
ALK	chr2	29227593	1699	0.966624151
ALK	chr2	29227594	1698	0.966055214
ALK	chr2	29228930	349	0.198559052
ALK	chr2	29229016	1076	0.612176331
ALK	chr2	29232310	1791	1.018966365
ALK	chr2	29232312	1809	1.029207233
ALK	chr2	29232321	1908	1.085532007
ALK	chr2	29232384	2224	1.265316134
ALK	chr2	29232430	1807	1.028069359
ALK	chr2	29233590	1698	0.966055214
ALK	chr2	29233605	2096	1.192492184
ALK	chr2	29233609	2183	1.241989712
ALK	chr2	29233618	2299	1.307986417
ALK	chr2	29233630	2373	1.350087763
ALK	chr2	29233695	2207	1.255644203
ALK	chr2	29239695	1930	1.098048623
ALK	chr2	29239712	2231	1.269298693
ALK	chr2	29239734	2612	1.486063733
ALK	chr2	29239739	2672	1.520199959
ALK	chr2	29239766	2827	1.608385211
ALK	chr2	29239778	2776	1.579369419
ALK	chr2	29239810	2380	1.354070323
ALK	chr2	29251150	1723	0.980278641
ALK	chr2	29251152	1737	0.988243761
ALK	chr2	29251155	1752	0.996777818
ALK	chr2	29251219	1959	1.114547799
ALK	chr2	29251241	1970	1.120806108
ALK	chr2	29251242	1964	1.117392485
ALK	chr2	29251246	1940	1.103737994
ALK	chr2	29251260	1797	1.022379988
ALK	chr2	29275133	2377	1.352363512
ALK	chr2	29275150	2439	1.387637612
ALK	chr2	29296896	2316	1.317658348
ALK	chr2	29296898	2347	1.335295398
ALK	chr2	29296904	2441	1.388775487
ALK	chr2	29297008	2782	1.582783041
ALK	chr2	29297031	2530	1.43941089
ALK	chr2	29318305	1769	1.006449748
ALK	chr2	29318316	1950	1.109427365
ALK	chr2	29320797	2257	1.284091058
ALK	chr2	29320833	2448	1.392758046
ALK	chr2	29320848	2453	1.395602732
ALK	chr2	29328376	2525	1.436566204
ALK	chr2	29328407	2879	1.637969941
ALK	chr2	29383752	2021	1.1498219
ALK	chr2	29531926	2526	1.437135141
ALK	chr2	29531947	2756	1.567990676
